Column1,time,Room,Day,Class,Enrollment,Instructor,Str_Start,Str_End
28,8:00,2160,Monday,,0,,N/A,N/A
29,8:30,2160,Monday,N/A,0,N/A,N/A,N/A
30,9:00,2160,Monday,N/A,0,N/A,N/A,N/A
31,9:30,2160,Monday,N/A,0,N/A,N/A,N/A
32,10:00,2160,Monday,N/A,0,N/A,N/A,N/A
33,10:30,2160,Monday,N/A,0,N/A,N/A,N/A
34,11:00,2160,Monday,N/A,0,N/A,N/A,N/A
35,11:30,2160,Monday,N/A,0,N/A,N/A,N/A
36,12:00,2160,Monday,N/A,0,N/A,N/A,N/A
37,12:30,2160,Monday,N/A,0,N/A,N/A,N/A
38,13:00,2160,Monday,N/A,0,N/A,N/A,N/A
39,13:30,2160,Monday,N/A,0,N/A,N/A,N/A
40,14:00,2160,Monday,N/A,0,N/A,N/A,N/A
41,14:30,2160,Monday,N/A,0,N/A,N/A,N/A
42,15:00,2160,Monday,N/A,0,N/A,N/A,N/A
43,15:30,2160,Monday,N/A,0,N/A,N/A,N/A
44,16:00,2160,Monday,N/A,0,N/A,N/A,N/A
45,16:30,2160,Monday,N/A,0,N/A,N/A,N/A
46,17:00,2160,Monday,N/A,0,N/A,N/A,N/A
47,17:30,2160,Monday,N/A,0,N/A,N/A,N/A
48,18:00,2160,Monday,N/A,0,N/A,N/A,N/A
49,18:30,2160,Monday,N/A,0,N/A,N/A,N/A
50,19:00,2160,Monday,N/A,0,N/A,N/A,N/A
51,19:30,2160,Monday,N/A,0,N/A,N/A,N/A
52,20:00,2160,Monday,N/A,0,N/A,N/A,N/A
53,20:30,2160,Monday,N/A,0,N/A,N/A,N/A
54,21:00,2160,Monday,N/A,0,N/A,N/A,N/A
55,21:30,2160,Monday,,0,,N/A,N/A
84,8:00,2160,Tuesday,,0,,N/A,N/A
85,8:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
86,9:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
87,9:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
88,10:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
89,10:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
90,11:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
91,11:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
92,12:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
93,12:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
94,13:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
95,13:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
96,14:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
97,14:30,2160,Tuesday,N/A,0,N/A,N/A,N/A
98,15:00,2160,Tuesday,N/A,0,N/A,N/A,N/A
